# Redshift evolution of the volume-averaged He III fraction
# considering AGN with M_{1450} < -18 and M_{1450} < -18 from the
# model presented in Kulkarni, Worseck, and Hennawi 2018
# (arXiv:1807.09774 [astro-ph.GA]), Figure 11.
#
# Column 1: z
# Column 2: Q_HeIII with M_{1450} < -18 AGN
# Column 3: Lower bound on column 2 (68.26% equal-tailed credible interval)
# Column 4: Upper bound on column 2 (68.26% equal-tailed credible interval)
# Column 5: Q_HeIII with M_{1450} < -21 AGN 
# Column 6: Lower bound on column 5 (68.26% equal-tailed credible interval)
# Column 7: Upper bound on column 5 (68.26% equal-tailed credible interval)
z         Q_HeIII_18  Q_HeIII_18_l  Q_HeIII_18_u  Q_HeIII_21    Q_HeIII_21_l  Q_HeIII_21_u
11.207  5.989365e-07  2.619763e-08  1.550123e-05  2.485792e-07  3.237493e-08  1.286515e-06
11.195  6.167287e-07  2.687523e-08  1.586892e-05  2.555181e-07  3.319639e-08  1.320247e-06
11.183  6.349643e-07  2.756434e-08  1.624262e-05  2.626256e-07  3.403107e-08  1.354634e-06
11.171  6.536525e-07  2.829453e-08  1.662247e-05  2.699017e-07  3.491065e-08  1.389686e-06
11.159  6.728025e-07  2.907321e-08  1.700858e-05  2.773464e-07  3.584307e-08  1.425417e-06
11.147  6.924236e-07  2.990039e-08  1.740108e-05  2.849597e-07  3.682832e-08  1.461837e-06
11.135  7.125250e-07  3.077606e-08  1.780008e-05  2.927415e-07  3.786640e-08  1.498958e-06
11.123  7.331160e-07  3.170022e-08  1.820572e-05  3.006920e-07  3.895733e-08  1.536792e-06
11.111  7.542057e-07  3.267288e-08  1.861812e-05  3.088110e-07  4.010108e-08  1.575350e-06
11.099  7.758034e-07  3.369402e-08  1.903743e-05  3.170986e-07  4.129767e-08  1.614643e-06
11.087  7.979183e-07  3.476366e-08  1.946376e-05  3.255548e-07  4.254709e-08  1.654683e-06
11.075  8.205597e-07  3.588180e-08  1.989725e-05  3.341796e-07  4.384935e-08  1.695512e-06
11.063  8.437367e-07  3.704842e-08  2.033801e-05  3.429729e-07  4.520444e-08  1.737197e-06
11.051  8.674587e-07  3.826354e-08  2.078619e-05  3.519349e-07  4.661237e-08  1.779755e-06
11.039  8.917348e-07  3.952714e-08  2.124189e-05  3.610654e-07  4.807313e-08  1.823205e-06
11.027  9.165743e-07  4.083925e-08  2.170525e-05  3.703645e-07  4.958672e-08  1.867564e-06
11.015  9.419923e-07  4.219984e-08  2.217639e-05  3.798322e-07  5.115315e-08  1.912849e-06
11.003  9.680822e-07  4.360892e-08  2.265543e-05  3.894685e-07  5.277241e-08  1.959077e-06
10.991  9.948871e-07  4.506650e-08  2.314252e-05  3.992733e-07  5.444451e-08  2.006265e-06
10.979  1.022423e-06  4.657257e-08  2.363776e-05  4.092468e-07  5.616944e-08  2.054432e-06
10.967  1.050708e-06  4.812714e-08  2.414128e-05  4.193888e-07  5.794721e-08  2.103593e-06
10.955  1.079757e-06  4.973019e-08  2.465322e-05  4.297686e-07  5.977781e-08  2.153767e-06
10.943  1.109587e-06  5.138174e-08  2.517369e-05  4.404953e-07  6.166125e-08  2.204971e-06
10.931  1.140215e-06  5.308178e-08  2.570282e-05  4.515702e-07  6.359751e-08  2.257222e-06
10.919  1.171657e-06  5.483031e-08  2.624074e-05  4.629933e-07  6.558662e-08  2.310537e-06
10.907  1.203931e-06  5.662734e-08  2.678777e-05  4.747646e-07  6.762855e-08  2.364933e-06
10.895  1.237052e-06  5.847285e-08  2.734424e-05  4.868841e-07  6.972333e-08  2.420429e-06
10.883  1.271038e-06  6.036686e-08  2.791032e-05  4.993518e-07  7.187093e-08  2.477040e-06
10.871  1.305905e-06  6.230936e-08  2.848619e-05  5.121677e-07  7.407137e-08  2.534785e-06
10.859  1.341669e-06  6.430036e-08  2.907201e-05  5.253317e-07  7.632465e-08  2.593681e-06
10.847  1.378347e-06  6.633984e-08  2.966794e-05  5.388440e-07  7.863076e-08  2.653745e-06
10.835  1.415956e-06  6.842782e-08  3.027416e-05  5.527044e-07  8.098970e-08  2.714994e-06
10.823  1.454512e-06  7.056429e-08  3.089084e-05  5.669131e-07  8.340148e-08  2.777446e-06
10.811  1.494032e-06  7.274926e-08  3.151814e-05  5.814699e-07  8.586609e-08  2.841118e-06
