Name,ra,dec,ee_a,ee_b,ee_a_sys,ee_b_sys,ee_theta,DM,DM_err,fluence,fluence_err,RM,RM_err,z,repeater,telescope,refs,P(O|x),ra_new,dec_new,eea_new,eeb_new,ee_theta_new,Diff RA,Diff (DEC)
FRB20220330D,163.75125,70.35075,1.62,0.97,,,90,468.1,0.9,,,-122.2,4.5,0.3714,FALSE,DSA,"Sherman23,Sharma24",,,,,,,,
FRB20220418A,219.105575,70.095944,1.356,0.761,,,90,623.45,,4.1,,6.1,7.5,0.6213,FALSE,DSA,"Law2023,Sherman23,Sharma24",,,,,,,,
FRB20220424E,,,,,,,90,863.48,0.03,,,126.9,13.4,,FALSE,DSA,Sherman23,,,,,,,,
FRB20220501C,352.379150391,-32.490715027,0.42,0.42,,,66.8,449.5,0.2,32,2,,,0.381,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20220506D,318.044833,72.827278,1.11,0.81,,,90,396.93,,16,,-32.4,3.6,0.3004,FALSE,DSA,"Law2023,Sherman23,Sharma24",,,,,,,,
FRB20220509G,282.67,70.243833,2.2,1.5,,,90,269.5,,6.3,,-109,1.2,0.0894,FALSE,DSA,"Sharma2023,Connor2023,Law2023,Sherman23",,,,,,,,
FRB20220610A,351.073272705,-33.513851166,0.445,0.429,,,-53.56,1458.1,0.2,47,2,215,2,1.015,FALSE,ASKAP,"Ryder2023,Shannon2024",,,,,,,,
FRB20220725A,353.315216064,-35.990257263,0.46,0.44,,,-56.11,290.4,0.3,72,6,,,0.1926,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20220726A,73.9455417,69.929528,0.8,0.6,,,90,686.55,0.01,,,499.8,7.2,0.3619,FALSE,DSA,"Sherman23,Sharma24",,,,,,,,
FRB20220801A,,,,,,,,412.6,0,,,,,,FALSE,DSA,Sherman23,,,,,,,,
FRB20220825A,311.98145,72.584969,0.78,0.69,,,90,651.2,0.02,,,750.2,6.7,0.2414,FALSE,DSA,"Sherman23,Sharma24",,,,,,,,
FRB20220831A,338.695542,70.538444,1.03,0.67,,,90,1146.25,0.2,,,772.1,7.2,,FALSE,DSA,"Sherman23,Connor24",,,,,,,,
FRB20220914A,282.056792,73.336914,0.93,0.73,,,90,631.05,,2.8,,,,0.1139,FALSE,DSA,"Sharma2023,Connor2023,Law2023",,,,,,,,
FRB20220918A,17.592142105,-70.811378479,0.46,0.43,,,-20.4,656.8,0.4,55,2,,,0.491,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20220920A,240.257083,70.9188,1.02,0.6,,,90,315,,4.6,,-830.3,8.3,0.1582,FALSE,DSA,"Law2023,Sherman23,Sharma24",,,,,,,,
FRB20220926A,,,,,,,,441.53,0.03,,,,,,FALSE,DSA,Sherman23,,,,,,,,
FRB20221002A,,,,,,,,322.5,1,,,,,,FALSE,DSA,Sherman23,,,,,,,,
FRB20221012A,280.798708,70.524208,1.12,0.74,,,90,442.2,,4.3,,165.7,17.7,0.2847,FALSE,DSA,"Law2023,Sherman23,Sharma24",,,,,,,,
FRB20221027A,130.872,72.100944,0.8,0.7,,,90,452.5,,,,,,0.5422,FALSE,DSA,"Sherman23,Sharma24",,,,,,,,
FRB20221029A,141.963417,72.452317,0.8,0.7,,,90,1391.05,,,,-155.8,9.7,0.975,FALSE,DSA,"Sherman23,Sharma24",,,,,,,,
FRB20221101A,76.0613333,72.446525,1.6,1.2,,,90,1476.5,,,,4670.4,10.8,,FALSE,DSA,Sherman23,,,,,,,,
FRB20221101B,342.215792,70.6815,1.2,0.9,,,90,490.7,,,,-32.2,9.1,0.2395,FALSE,DSA,"Sherman23,Sharma24",,,,,,,,
FRB20221106A,56.704807281,-25.569810867,0.598,0.53,,,-58.11,343.8,0.8,80,2,,,0.2044,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20221113A,71.411,70.307389,1.4,0.9,,,90,411.4,,,,,,0.2505,FALSE,DSA,Sharma24,,,,,,,,
FRB20221116A,21.2109583,72.65375,1,1,,,90,640.6,,,,,,0.2764,FALSE,DSA,Sharma24,,,,,,,,
FRB20221203A,315.129542,72.037561,0.56,0.46,,,90,602.25,,,,,,,FALSE,DSA,Connor24,,,,,,,,
FRB20221219A,257.629792,71.626842,1.54,0.93,,,90,706.708,,,,,,0.553,FALSE,DSA,Sharma24,,,,,,,,
FRB20230124A,231.917,70.968086,1.4,0.9,,,90,590,,,,,,0.0939,FALSE,DSA,Sharma24,,,,,,,,
FRB20230216A,156.472167,3.436825,1.2,0.7,,,90,828.289,,,,,,0.531,FALSE,DSA,Sharma24,,,,,,,,
FRB20230307A,177.781583,71.695131,0.2,0.2,,,90,610.15,,,,,,0.2706,FALSE,DSA,Sharma24,,,,,,,,
FRB20230501A,340.027083,70.922139,0.9,0.8,,,90,533.7,,,,,,0.3015,FALSE,DSA,Sharma24,,,,,,,,
FRB20230521B,351.036,71.138031,1.2,0.6,,,90,1345.65,,,,,,,FALSE,DSA,Connor24,,,,,,,,
FRB20230526A,22.232616425,-52.717330933,0.43,0.42,,,-65.31,361.4,0.2,34,1,,,0.1570,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20230626A,235.629583,71.133547,1.8,1.4,,,90,451.2,,,,,,0.327,FALSE,DSA,Sharma24,,,,,,,,
FRB20230628A,166.786708,72.281844,1.4,1,,,90,345.15,,,,,,0.127,FALSE,DSA,Sharma24,,,,,,,,
FRB20230708A,303.115539551,-55.356269836,0.467,0.433,,,-63.24,411.51,0.05,111,4,,,0.1050,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20230712A,167.358529,72.557783,1.4,0.9,,,90,586.96,,,,,,0.4525,FALSE,DSA,Sharma24,,,,,,,,
FRB20230718A,128.161929000,-40.451932000,0.61,0.596,,,-20.36,477.0,0.5,14,1,,,0.035,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20230731A,174.601455688,-56.799060822,0.563,0.545,,,-42.58,701.1,0.3,25,1,,,,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20230814A,335.97475,73.025906,1.7,0.5,,,90,696.35,,,,,,,TRUE,DSA,Connor24,,,,,,,,
FRB20230902A,52.139774323,-47.333503723,0.693,0.554,,,-72.27,440.1,0.1,23,2,,,0.3619,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20231120A,143.983958,73.284667,1.1,1,,,90,438.9,,,,,,0.0368,FALSE,DSA,Sharma24,,,,,,,,
FRB20231123B,242.538167,70.785056,1.2,0.6,,,90,396.7,,,,,,0.2621,FALSE,DSA,Sharma24,,,,,,,,
FRB20231220A,123.908708,73.659917,0.7,0.5,,,90,491.2,,,,,,,FALSE,DSA,Connor24,,,,,,,,
FRB20231226A,155.363739014,6.110260010,0.511,0.479,,,-13.19,329.9,0.1,78,3,,,0.1569,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20240119A,224.467167,71.611758,1.3,0.7,,,90,483.1,,,,,,,FALSE,DSA,Connor24,,,,,,,,
FRB20240123A,68.2625,71.945283,1.3,0.8,,,90,1462,,,,,,,FALSE,DSA,Connor24,,,,,,,,
FRB20240201A,149.905578613,14.088025093,0.52,0.46,,,-30.04,374.5,0.2,47,3,,,0.042729,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20240208A,159.229614258,0.954430521,1.59,0.55,,,-6.54,260.2,0.3,37,3,,,,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20240210A,8.779575348,-28.270753860,0.547,0.488,,,-54.14,283.73,0.05,26,2,,,0.023686,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20240213A,166.168292,74.075389,1,0.6,,,90,357.4,,,,,,,FALSE,DSA,Connor24,,,,,,,,
FRB20240215A,268.44125,70.232361,0.8,0.5,,,90,549.5,,,,,,,FALSE,DSA,Connor24,,,,,,,,
FRB20240229A,169.983542,70.676222,0.8,0.6,,,90,491.15,,,,,,,FALSE,DSA,Connor24,,,,,,,,
FRB20240304A,136.330825806,-16.166629791,0.81,0.56,,,-57.04,652.6,0.5,34,2,,,0.2423,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20240310A,17.621870041,-44.439422607,0.588,0.548,,,-48.6,601.8,0.2,35,2,,,0.127,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20240318A,150.393157959,37.616355896,0.82,0.5,,,-19.3,256.4,0.3,15,1,,,,FALSE,ASKAP,Shannon2024,,,,,,,,
FRB20221209A,297.369563,59.406184,12.9096,2.0016,,,7.033855,792.169,0,489.61,50.01,,,,FALSE,CHIME,Leung+2025,0.70897,,,,,,,
FRB20230203A,151.661594,35.694096,17.9784,2.0016,,,10.148386,417.302,0,173.03,17.4,,,0.1464,FALSE,CHIME,Leung+2025,0.938327,,,,,,,
FRB20230222A,106.960358,11.224524,21.366,2.0016,,,7.575682,708.442,0,129.17,12.97,,,0.1223,FALSE,CHIME,Leung+2025,0.985382,,,,,,,
FRB20230222B,238.739123,30.898695,11.4984,2.0016,,,9.886957,188.034,0,37.55,3.8,,,0.11,FALSE,CHIME,Leung+2025,0.980619,,,,,,,
FRB20230311A,91.109662,55.945953,15.7392,2.0016,,,9.675111,364.341217,0,12.18,1.29,,,0.1918,FALSE,CHIME,Leung+2025,0.773594,,,,,,,
FRB20230314A,310.28879,6.955675,11.3076,2.0016,,,7.327116,429.041,0,139.39,13.97,,,,FALSE,CHIME,Leung+2025,0.615226,,,,,,,
FRB20230317A,178.895043,72.352463,16.7364,2.0016,,,9.981233,696.737,0,97.55,9.85,,,,FALSE,CHIME,Leung+2025,0.421209,,,,,,,
FRB20230409A,148.548623,61.147849,33.0012,2.0016,,,7.312842,408.822,0,72.72,7.56,,,,FALSE,CHIME,Leung+2025,0.683662,,,,,,,
FRB20230410A,214.777446,25.457945,21.6576,2.0016,,,9.191534,643.359,0,12.77,1.39,,,0.1684,FALSE,CHIME,Leung+2025,0.717361,,,,,,,
FRB20230411A,280.057377,47.495064,11.8944,2.0016,,,9.456615,551.162,0,16.73,1.7,,,,FALSE,CHIME,Leung+2025,0.031865,,,,,,,
FRB20230414A,304.47601,84.899695,14.2884,2.0016,,,6.007379,501.02,0,11.8,1.21,,,,FALSE,CHIME,Leung+2025,0.011763,,,,,,,
FRB20230414B,11.105806,51.813676,13.1112,2.0016,,,10.416676,433.893585,0,7.6,0.8,,,,FALSE,CHIME,Leung+2025,0.000608,,,,,,,
FRB20230615A,78.129327,61.669226,34.3584,2.0016,,,8.772203,695.928,0,19.18,2.11,,,,FALSE,CHIME,Leung+2025,0.857104,,,,,,,
FRB20230616A,184.614579,28.356649,16.992,2.0016,,,8.603507,918.334,0,83.81,8.65,,,0.4485,FALSE,CHIME,Leung+2025,0.230691,,,,,,,
