tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20181022D,-9999,-9999,179.18,0.16,-9999,36.53,0.16,-9999,170.49,75.08,17.4,6.3,-9999,-9999,-9999,-9999,35.6,512.7,0,4.4,0,9.1,52.1,514.33426,0.00093,494.2,496.7,0.00197,<0.00063,-9999,2.9,1.3,-9999,6.2,2.8,-9999,0,58413.7456487863,0.0000000045,58413.7454945557,0.0000000045,0.000594,0.000016,18.2,2.3,-14.4,2.1,800.2,505.7,754.7,398191.143,393370,0.368,0
FRB20181022E,-9999,-9999,221.18,0.21,-9999,27.13,0.22,-9999,39.5,64.85,13.3,7.7,-9999,-9999,-9999,-9999,15.5,286.3,0,1.8,0,3.3,18.8,285.986,0.014,264.2,263.9,0.00295,0.000632,0.000092,0.69,0.35,-9999,2.08,0.84,-9999,0,58413.859347892,0.000000012,58413.859262135,0.000000013,0.00040,0.00015,8.7,2.7,-42.3,9.4,560.3,400.2,443.7,401097.555,400057,0.357,0
FRB20181025A,-9999,-9999,105.78,0.20,-9999,64.25,0.20,-9999,151.66,25.49,28,15,-9999,-9999,-9999,-9999,18.8,590.4,0,1.3,0,2.4,20.8,592.5644,0.0044,530.9,529.5,0.00197,0.000257,0.000042,1.52,0.58,-9999,2.68,0.99,-9999,0,58416.535717286,0.000000013,58416.535539597,0.000000013,0.000355,0.000081,-3.15,0.95,-0.1,1.6,800.2,400.2,400.2,374899.121,373913,0.399,0
FRB20181027A,-9999,-9999,131.90,0.22,-9999,-4.24,0.34,-9999,231.12,23.4,11.6,7.1,-9999,-9999,-9999,-9999,15.9,726.3,0,7.3,0,15.2,22.3,727.7440,0.0064,663.7,670.0,0.0059,0.00472,0.00075,4.9,3.5,-9999,22,15,-9999,0,58418.598616986,0.000000014,58418.598398762,0.000000014,0.00072,0.00014,-0.4,6.9,6.1,6.0,800.2,530.0,800.2,406922.127,405833,0.565,0
FRB20181028A,-9999,FRB20180814A,65.54,0.19,-9999,73.63,0.27,-9999,136.46,16.58,41,24,-9999,43.5,7.9,-9999,11.7,181.2,43.8,6.9,155.9,25.6,98.4,189.1063,0.0060,101.3,80.7,0.03342,<0.0019,-9999,1.31,0.57,-9999,22.6,7.4,-9999,0,58419.425399023,0.000000012,58419.425342317,0.000000012,0.00607,0.00020,79.9,6.2,-212,16,536.2,435.3,483.2,1047850.43,1039654,0.443,0
FRB20181028A,-9999,FRB20180814A,65.54,0.19,-9999,73.63,0.27,-9999,136.46,16.58,41,24,-9999,43.5,7.9,-9999,11.7,181.2,43.8,6.9,155.9,25.6,98.4,189.1063,0.0060,101.3,80.7,0.03342,<0.0019,-9999,1.31,0.57,-9999,22.6,7.4,-9999,1,58419.425399069,0.000000014,58419.425342362,0.000000014,0.001749,0.000084,81.2,8.2,-220,21,533.1,434.5,481.3,1047850.43,1039654,0.443,0
FRB20181028A,-9999,FRB20180814A,65.54,0.19,-9999,73.63,0.27,-9999,136.46,16.58,41,24,-9999,43.5,7.9,-9999,11.7,181.2,43.8,6.9,155.9,25.6,98.4,189.1063,0.0060,101.3,80.7,0.03342,<0.0019,-9999,1.31,0.57,-9999,22.6,7.4,-9999,2,58419.4253992588,0.0000000067,58419.4253425526,0.0000000069,0.002178,0.000066,81.8,4.6,-257,15,515.9,426.9,469.3,1047850.43,1039654,0.443,0
FRB20181028A,-9999,FRB20180814A,65.54,0.19,-9999,73.63,0.27,-9999,136.46,16.58,41,24,-9999,43.5,7.9,-9999,11.7,181.2,43.8,6.9,155.9,25.6,98.4,189.1063,0.0060,101.3,80.7,0.03342,<0.0019,-9999,1.31,0.57,-9999,22.6,7.4,-9999,3,58419.425399421,0.000000014,58419.425342714,0.000000014,0.00271,0.00018,66.3,7.3,-278,31,493.8,411.7,450.9,1047850.43,1039654,0.443,0
FRB20181028A,-9999,FRB20180814A,65.54,0.19,-9999,73.63,0.27,-9999,136.46,16.58,41,24,-9999,43.5,7.9,-9999,11.7,181.2,43.8,6.9,155.9,25.6,98.4,189.1063,0.0060,101.3,80.7,0.03342,<0.0019,-9999,1.31,0.57,-9999,22.6,7.4,-9999,4,58419.425399542,0.000000020,58419.425342836,0.000000020,0.00208,0.00019,58,15,-388,94,465.5,400.2,431.0,1047850.43,1039654,0.443,0
FRB20181030C,-9999,-9999,309.83,0.22,-9999,3.99,0.30,-9999,49.72,-21.77,11.4,6.1,-9999,-9999,-9999,-9999,11.7,668.0,0,7.7,0,15.8,17,668.7601,0.0064,595.7,610.0,0.00098,0.00074,0.00014,1.6,1.5,-9999,5.5,3.6,-9999,0,58421.087198995,0.000000021,58421.086998457,0.000000021,<0.00061,-9999,10.0,2.6,-22.2,4.2,691.2,400.2,500.9,331710.287,330745,0.469,0
