,Name,l,b,dm,dmmax,dmdiff
28,FRB181112,342.6,-47.7,589.27,42.39488537688567,546.8751146231143
29,FRB181017,50.5,-47.0,239.97,39.14838296140071,200.8216170385993
30,FRB180924,0.742467,-49.414787,361.42,41.894100263590765,319.52589973640926
31,FRB180528,258.8,-22.35,899.3,69.2551637912371,830.0448362087628
32,FRB180515,349.5,-64.9,355.2,33.62807408794481,321.5719259120552
33,FRB180324,241.9,-21.9,431.0,64.94651841411297,366.053481585887
34,FRB180321,119.273,-20.711,594.0,69.30436203163283,524.6956379683671
35,FRB180315,12.6,-20.8,479.0,98.74859014789098,380.251409852109
36,FRB180311,337.3,-43.7,1570.9,45.641511363163964,1525.258488636836
37,FRB180309,10.9,-45.4,263.42,45.75043847294175,217.66956152705825
38,FRB180131,0.93,-50.5,657.7,41.09501898026476,616.6049810197353
39,FRB180130,4.21,-51.1,343.5,40.67324164328577,302.8267583567142
40,FRB180128.2,329.9,-48.3,495.9,41.37730344563316,454.5226965543668
41,FRB180119,199.5,-50.4,402.7,35.871334942765124,366.82866505723484
42,FRB180110,9.18,-51.3,715.7,40.48193056687245,675.2180694331275
43,FRB171216,271.2,-49.3,203.1,37.05060072817525,166.04939927182474
44,FRB171213,198.8,-47.5,158.6,37.26637087504108,121.33362912495892
45,FRB171116,206.3,-51.9,618.5,34.98160264087315,583.5183973591269
46,FRB171020,36.2,-53.5,114.1,37.48300107135757,76.61699892864243
47,FRB171019,52.5,-49.3,460.8,37.768549981444124,423.0314500185559
48,FRB170922,45.1,-38.7,1111.0,45.8355819523867,1065.1644180476133
49,FRB170906,33.8,-50.2,390.3,39.308728584639056,350.991271415361
50,FRB170827,303.2,-51.7,176.8,37.71577232907669,139.08422767092333
51,FRB170712,327.4,-49.2,312.79,40.605690411959834,272.1843095880402
52,FRB170707,275.0,-52.4,235.2,35.72720795274097,199.47279204725902
53,FRB170428,359.2,-49.9,991.7,41.333920980031984,950.3660790199681
54,FRB170416,337.6,-50.0,523.2,40.52002612214639,482.6799738778536
55,FRB161202,109.395,-20.292,291.0,69.63003379652054,221.36996620347946
56,FRB160206,124.848,-21.206,1262.0,68.32922719957797,1193.6707728004221
57,FRB160102,18.9,-60.8,2596.1,35.51893429836429,2560.5810657016355
58,FRB151125,132.838,-31.129,273.0,50.176799980344875,222.82320001965513
59,FRB150807,333.892,-53.5959,266.5,38.12247937698517,228.37752062301485
60,FRB141216,115.46700000000001,-20.688000000000002,545.0,69.05022176909073,475.94977823090926
61,FRB140514,50.8413,-54.611999999999995,562.7,35.73524668798922,526.9647533120108
62,FRB140212,132.93,-31.561999999999998,910.0,49.63183272685679,860.3681672731432
63,FRB131104,260.55,-21.9253,779.0,71.12127388666686,707.8787261133332
64,FRB131030,117.449,-22.609,203.0,64.06768464018383,138.9323153598162
65,FRB121029,115.146,-20.215,732.0,70.45125362379545,661.5487463762046
66,FRB121002,308.22,-26.2647,1629.18,72.15960520800006,1557.020394792
67,FRB120127,49.2871,-66.2037,553.3,32.72838635713683,520.5716136428631
68,FRB110703,80.9978,-59.0191,1103.6,32.890471472128276,1070.7095285278717
69,FRB110626,355.86199999999997,-41.7522,723.0,48.456183009651106,674.5438169903489
70,FRB110523,56.12,-37.82,623.3,44.430829569349875,578.8691704306501
71,FRB110220,50.82899999999999,-54.7663,944.38,35.6966478977236,908.6833521022764
72,FRB110214,290.7,-66.6,168.9,31.66432867027509,137.2356713297249
73,FRB090625,226.44400000000002,-60.0303,899.55,32.03354670451341,867.5164532954866
74,FRB010312,274.72,-33.3,1187.0,51.406588613541985,1135.593411386458
75,FRB010125,356.64099999999996,-20.0206,790.0,104.78863438533755,685.2113656146624
