,Name,Pref,dm,l,b,dmmax,deltaDM
47,J1034-3224,mld+96,50.75,272.0503894159444,22.117020803164365,76.79087793364752,-26.040877933647522
48,J1038+0032,bjd+06,26.59,247.15191770286418,48.47055570513065,38.37803765454861,-11.788037654548614
49,B1039-19,mlt+78,33.777,265.5915123257161,33.589939141441356,51.66828181924764,-17.891281819247638
50,J1046+0304,bjd+06,25.3,246.41162775408645,51.697352506949954,36.854706145834946,-11.554706145834945
51,J1047-3032,lml+98,52.54,273.4945663290375,25.127026730938862,68.5283866141334,-15.988386614133397
52,J1048+2339,cck+16,16.6544,213.1721850537252,62.13950330850082,32.884310253782935,-16.229910253782936
53,J1059+6459,slr+14,18.5,140.25102740336396,48.197510001527846,36.69100301494746,-18.191003014947462
54,J1110+58,slr+14,26.0,144.7399338839383,53.80128975731994,34.567306127006646,-8.567306127006646
55,B1112+50,fss73,9.18634,154.40772834679643,60.364763567759994,32.93753027368284,-23.751190273682838
56,J1116-2444,kmk+18,29.8,276.97100928516596,33.28671687529259,53.62192996891169,-23.821929968911686
57,J1120-3618,rb13,45.1,283.12480707298226,23.03567090225999,77.20706322856125,-32.10706322856125
58,J1124-3653,hrm+11,44.9,283.7422767954848,23.592286680460436,75.67792103466647,-30.77792103466647
59,J1125+7819,slr+14,11.73,128.28877298860763,37.89466409982315,42.44526004893488,-30.715260048934876
60,J1126-27,kkl+15,26.86,280.6819327802128,31.53720661750662,56.832569301791416,-29.972569301791417
61,J1126-38,kbj+18,46.0,285.21398466936256,21.291514584450013,84.07062064507055,-38.07062064507055
62,B1133+16,phbc68,4.84066,241.90235210623098,69.19516049986865,30.840780572051504,-26.000120572051504
63,J1137+7528,san16,29.1702,128.99891286109485,40.77236306967853,40.3169343851905,-11.146734385190499
64,J1141-3107,mld+96,30.77,285.7459587486715,29.393341741366815,61.56327620582507,-30.79327620582507
65,J1141-3322,lml+98,46.448,286.58582621736866,27.271835691759904,66.29240547067334,-19.844405470673344
66,J1142+0119,san16,19.197,267.54215232020505,59.39997751810123,33.39892486544231,-14.201924865442312
67,J1153-21,kkl+15,34.8,285.1875820810891,39.54970992185947,47.0179376171455,-12.217937617145502
68,J1226-3223,bb10,36.7,296.9084792814615,30.199547432413077,61.802158385669955,-25.102158385669952
69,J1231-1411,rrc+11,8.09,295.5311133903534,48.3851036055016,39.25174852617139,-31.16174852617139
70,J1234-3630,kmk+18,58.8,299.0713066377672,26.231077436764636,71.43081348460845,-12.630813484608453
71,J1238+2152,rtj+96,17.9706,272.78866930896874,83.96201121132516,28.585956292155107,-10.615356292155106
72,B1237+25,lan69,9.25159,252.45035837261685,86.54140635399283,28.539503346476117,-19.287913346476117
73,B1237-41,mlt+78,44.1,300.68795893843463,21.408826203248477,88.22742218774924,-44.12742218774924
74,J1242+39,ttol16,26.0,130.75964012833168,77.35978267488345,29.665640232026764,-3.665640232026764
75,J1246+2253,tdk+93,17.792,288.8091221455634,85.63996512039215,28.513594418309015,-10.721594418309014
76,B1254-10,dtws85,29.634,305.2052628685859,52.3952437686124,36.70954785630094,-7.075547856300936
77,B1257+12,wol90a,10.1655,311.3097123908595,75.4136720134598,32.778178349830284,-22.612678349830283
78,J1301+0833,rap+12,13.2,310.8112671813577,71.28150895660136,29.94498030749232,-16.74498030749232
79,J1302-32,hrm+11,26.2,305.5393762282956,30.818268315685547,61.17678983638738,-34.97678983638738
80,J1306-4035,kbj+18,35.0,306.10912936067535,22.186295096920308,86.40310285726933,-51.40310285726933
81,B1309-12,dtws85,36.214,310.72314494388655,50.095167742126584,37.38851060597145,-1.1745106059714487
82,J1311-3430,pgf+12,37.84,307.68097764116897,28.175835311075343,67.33538903216152,-29.495389032161512
83,J1312+0051,san16,15.345,314.84243661668216,63.22723587640621,30.105352621346,-14.760352621346
84,B1310+18,kapw91,24.0,332.95414199448504,79.7633308908008,27.047363408785326,-3.0473634087853263
85,J1313+0931,lzb+00,12.040623,320.3662928327127,71.65723679288836,27.54717543826612,-15.50655243826612
86,J1320-3512,mld+96,16.42,309.54311610557744,27.29489016785759,69.79529834774279,-53.375298347742785
87,J1320+67,slr+14,28.0,118.74052519071981,49.395159663034164,35.25366330845563,-7.253663308455629
88,B1322+83,dbtb82,13.31624,121.88672666974902,33.67244803063486,45.945942507107915,-32.629702507107915
89,J1327-0755,blr+13,27.91215,318.38297602841016,53.84756571174692,33.45523104395302,-5.54308104395302
90,J1329+13,ttm+18,12.0,338.0073433610405,73.98942304625074,25.331927409790886,-13.331927409790886
91,J1332-03,kkl+15,27.1,322.24976788417325,57.909014665089714,30.759946174448267,-3.6599461744482653
92,J1332-3032,lml+98,15.1,313.3963163953424,31.490236792460973,60.22792825924574,-45.12792825924574
