#----------------------------------------------------------------------------------------------------------------------------------------------------
ID 	    PSRJ       Pref            RAJ           RAf    RAref     DECJ              DECf  DECref      P0                     P0f  P0ref     DM           DMf  DMref
#                               (hms)                              (dms)                              (s)                                    (cm^-3 pc)                   
#------------------------------------------------------------------------------------------------------------------------------------------------------
1205  J1720-3659    mlc+01     17:20:01.976         9  mlc+01     -36:59:06.5          4  mlc+01     0.351124633722           5  mlc+01     381.6          5  mlc+01     

1206  J1721-1936    lbhb93     17:21:01.48          5  hlk+04     -19:36:51            8  hlk+04     1.00403745670           19  hlk+04     75.7           3  hlk+04     
1207  J1721-1939    ebvb01     17:21:46.61          4  ebvb01     -19:39:49            5  ebvb01     0.404039751280          15  ebvb01     103            2  ebvb01     
1208  J1721-2457    eb01b      17:21:05.4979        3  dcl+16     -24:57:06.17         5  dcl+16     0.00349663378270016     19  jsb+10     47.758        19  eb01b      
1209  J1721+35      ttol16     17:21:57            40  ttol16     +35:24              10  ttol16     0.8219                   0  ttol16     22             3  ttol16     
1210  J1721-3532    jlm+92     17:21:32.778        16  hlk+04     -35:32:49.6         11  hlk+04     0.280423858549           6  hlk+04     496.0          4  hlk+04     

1211  J1722-3207    dls72      17:22:02.955         3  hlk+04     -32:07:45.3          3  hlk+04     0.477157518356           4  hlk+04     126.064        8  hlk+04     
1212  J1722-3632    jlm+92     17:22:09.817         8  jml+95     -36:32:53.3          5  jml+95     0.399183351758           4  jml+95     416.2          2  jml+95     
1213  J1722-3712    mlt+78     17:22:59.17          4  antt94     -37:12:03.7          6  antt94     0.236173191636           4  antt94     99.50          4  antt94     
1214  J1722-4400    lfl+06     17:22:46.517        12  lfl+06     -44:00:33.2          3  lfl+06     0.2185540958272         15  lfl+06     219.3          5  lfl+06     
1215  J1723-2837    fsk+04     17:23:23.1856        8  cls+13     -28:37:57.17        11  cls+13     0.001855732795729       11  cls+13     19.688        13  cls+13     

1216  J1723-2852    eklk13     17:23:58.2           3  eklk13     -28:52:51           15  eklk13     0.6250339127            12  eklk13     172            6  eklk13     
1217  J1723-3659    mlc+01     17:23:07.580         6  mlc+01     -36:59:13.9          3  mlc+01     0.2027219378604         17  mlc+01     254.2          3  mlc+01     
1218  J1723-38      ncb+15     17:23                5  ncb+15     -38:20               7  ncb+15     0.76579581473           10  ncb+15     472            2  ncb+15     
1219  J1724-3149    hfs+04     17:24:44.87          7  hfs+04     -31:49:04            4  hfs+04     0.94823697410            9  hfs+04     409            4  hfs+04     
1220  J1724-35      ekl09      17:24:43            36  kkl+11     -35:49               7  kkl+11     1.42199                  2  kle+10     554.9         99  kle+10     

1221  J1724-3505    mlc+01     17:24:47.89         17  mlc+01     -35:05:36            7  mlc+01     1.2217076921             3  mlc+01     875            3  mlc+01     
1222  J1724-4500    lfl+06     17:24:25.8           3  lfl+06     -45:00:15            4  lfl+06     1.3091087873             3  lfl+06     182            3  lfl+06     
1223  J1725-0732    crh+06a    17:25:12.281         6  crh+06a    -07:32:59.2          3  crh+06a    0.239919487227           4  crh+06a    58.91          7  crh+06a    
1224  J1725-2852    lfl+06     17:25:09.9           3  lfl+06     -28:52:22           17  lfl+06     1.257787625             10  lfl+06     161           10  lfl+06     
1225  J1725-3546    mlc+01     17:25:42.2           3  mlc+01     -35:46:16            7  mlc+01     1.0324711993             4  mlc+01     744            4  mlc+01     

1226  J1725-3848    kbm+03     17:25:00.1           5  kbm+03     -38:48:36           14  kbm+03     2.0623862583            13  kbm+03     230           11  kbm+03     
1227  J1725-3853    mlb+12     17:25:27.27          8  mlb+12     -38:53:04.20         5  mlb+12     0.004791822704           3  mlb+12     158.2          7  mlb+12     
1228  J1725-4043    kbm+03     17:25:41.42          4  kbm+03     -40:43:11            2  kbm+03     1.46507137487            9  kbm+03     203            3  kbm+03     
1229  J1726-00      dsm+13     17:26:23            30  dsm+13     -00:15               8  dsm+13     1.3086                   0  dsm+13     57             0  dsm+13     
1230  J1726-31      kek+13     17:26:36            30  kek+13     -31:57               7  kek+13     0.12347018               9  kek+13     264.4          0  kek+13     

1231  J1726-3530    mlc+01     17:26:07.51          6  mlc+01     -35:29:58            4  mlc+01     1.11013244403            5  mlc+01     727            7  mlc+01     
1232  J1726-3635    mlc+01     17:26:49.61          3  mlc+01     -36:35:45.6         13  mlc+01     0.287431567184          13  mlc+01     539.2          7  mlc+01     
1233  J1726-4006    hfs+04     17:26:33.37          7  hfs+04     -40:06:02            4  hfs+04     0.88277826565           10  hfs+04     277            3  hfs+04     
1234  J1727-2739    hfs+04     17:27:30.99         12  hfs+04     -27:39:00.5        169  hfs+04     1.29309994235           16  hfs+04     147            4  hfs+04     
1235  J1727-2946    fsk+04     17:27:15.09493      17  lem+15     -29:46:36.797       17  lem+15     0.0270831832440066      12  lem+15     60.74          3  lem+15     

1236  J1728-0007    stwd85     17:28:34.819         7  hlk+04     -00:07:45.0          3  hlk+04     0.3860037238349         15  hlk+04     41.09          3  hlk+04     
1237  J1728-3733    mlc+01     17:28:46.25         16  mlc+01     -37:33:08            9  mlc+01     0.61553824309           16  mlc+01     281.5          7  mlc+01     
1238  J1728-4028    lfl+06     17:28:27.68         17  lfl+06     -40:28:10            4  lfl+06     0.866342509              4  lfl+06     231           10  lfl+06     
1239  J1729-2117    btb+15     17:29:10.808         6  btb+15     -21:17:28            1  btb+15     0.0662928992668          4  btb+15     34.49          4  btb+15     
1240  J1730-2304    lnl+95     17:30:21.66624       8  rhc+16     -23:04:31.19         2  rhc+16     0.00812279804607698      4  rhc+16     9.61634        0  rhc+16     

1241  J1730-2900    lfl+06     17:30:08.28         10  lfl+06     -29:00:46           12  lfl+06     1.5384267263             3  lfl+06     289            5  lfl+06     
1242  J1730-3350    jlm+92     17:30:32.559        13  hlk+04     -33:50:39.4         11  hlk+04     0.139460211250          18  hlk+04     259            5  hlk+04     
1243  J1730-3353    hfs+04     17:30:55.58         10  hfs+04     -33:53:38           12  hfs+04     3.2702418032             5  hfs+04     256           10  hfs+04     
1244  J1730-34      ncb+15     17:30:06            30  ncb+15     -34:48               7  ncb+15     0.09982956              15  ncb+15     628            5  ncb+15     
1245  J1731-1847    kjv+10     17:31:17.609823     17  nbb+14     -18:47:32.666        3  nbb+14     0.00234455954688568     11  nbb+14     106.4711       6  nbb+14     

1246  J1731-3123    hfs+04     17:31:00.53          3  hfs+04     -31:23:43            4  hfs+04     0.75304798900            3  hfs+04     354            3  hfs+04     
1247  J1731-3322    ncb+15     17:31:14.31         10  ncb+15     -33:22:45            2  ncb+15     0.54467054719            4  ncb+15     877.4          0  ncb+15     
1248  J1731-4744    lvw68      17:31:42.103         5  wmp+00     -47:44:34.56        14  wmp+00     0.82982878524            5  wmp+00     123.33         2  wmp+00     
1249  J1732-1930    lml+98     17:32:20.02          4  hlk+04     -19:30:09            7  hlk+04     0.483769998047           8  hlk+04     72.43         14  hlk+04     
1250  J1732-3131    aaa+09c    17:32:33.54          3  rkp+11     -31:31:23            2  rkp+11     0.196543154965          20  rkp+11     15.44         32  mad12      

1251  J1732-3426    lfl+06     17:32:07.18          7  lfl+06     -34:26:05            3  lfl+06     0.33288667881            4  lfl+06     513.5         18  lfl+06     
1252  J1732-35      ncb+15     17:32:30            24  ncb+15     -35:05               7  ncb+15     0.126689998553           5  ncb+15     340            2  ncb+15     
1253  J1732-3729    kbm+03     17:32:20.81          5  kbm+03     -37:29:05            3  kbm+03     2.18400134708           15  kbm+03     317            3  kbm+03     
1254  J1732-4128    mlt+78     17:32:50.0           1  nmc81      -41:28:48            4  nmc81      0.6279806844             3  nmc81      195.3          4  hfs+04     
1255  J1732-4156    hfs+04     17:32:48.86          4  hfs+04     -41:56:29.6         16  hfs+04     0.323434055969          13  hfs+04     228.7         15  hfs+04     

1256  J1732-5049    eb01b      17:32:47.766731     19  rhc+16     -50:49:00.1917       4  rhc+16     0.00531255029055024     12  rhc+16     56.8365        0  rhc+16     
1257  J1733-2228    dls73      17:33:26.43          4  hlk+04     -22:28:37           11  hlk+04     0.871682832986           3  hlk+04     41.14          3  hlk+04     
1258  J1733-2533    lfl+06     17:33:25.86          8  lfl+06     -25:33:11           18  lfl+06     0.65979414168            4  lfl+06     242            5  lfl+06     
1259  J1733-2837    lfl+06     17:33:33.90          5  lfl+06     -28:37:33            8  lfl+06     0.76818455674            6  lfl+06     225            5  lfl+06     
1260  J1733-3030    hfs+04     17:33:58.89          6  hfs+04     -30:30:49            7  hfs+04     0.362051962860          14  hfs+04     636            3  hfs+04     

1261  J1733-3322    mhl+02     17:33:55.21          8  mhl+02     -33:22:03            4  mhl+02     1.24591463402            8  mhl+02     524.0         17  mhl+02     
1262  J1733-3716    jlm+92     17:33:26.7628       18  lwy+16     -37:16:55.23         9  lwy+16     0.337593698481          12  lwy+16     153.5          3  hfs+04     
1263  J1733-4005    hfs+04     17:33:58.64          3  hfs+04     -40:05:39.7         15  hfs+04     0.561778329077          13  hfs+04     317.8         11  hfs+04     
1264  J1733-5515    bbb+12     17:33:00.4           3  bbb+12     -55:15:40            5  bbb+12     1.011233535              8  bbb+12     83.9           8  bbb+12     
1265  J1734-0212    dtws85     17:34:45.66          3  hlk+04     -02:12:39.1         15  hlk+04     0.839394324968           9  hlk+04     65.05          9  hlk+04     

1266  J1734-2415    lfl+06     17:34:41.6           3  lfl+06     -24:15:20           90  lfl+06     0.61252373999           12  lfl+06     126.3          7  lfl+06     
1267  J1734-3058    ncb+15     17:34:50.839         7  ncb+15     -30:58:41.4          8  ncb+15     0.541285680730           5  ncb+15     260.0         14  ncb+15     
1268  J1734-3333    mhl+02     17:34:26.9           2  elk+11     -33:33:20           10  elk+11     1.169340685              5  elk+11     578            9  elk+11     
1269  J1735-0243    blr+13     17:35:48.1           2  blr+13     -02:43:48            5  blr+13     0.7828869765             5  blr+13     55.4           5  blr+13     
1270  J1735-0724    ll76       17:35:04.9717       11  hlk+04     -07:24:52.49         7  hlk+04     0.4193349661853         11  hlk+04     73.512         4  hlk+04     

1271  J1735-3258    mhl+02     17:35:56.9           3  mhl+02     -32:58:19           19  mhl+02     0.35096322944           12  mhl+02     754            8  mhl+02     
1272  J1736+05      cnst96     17:36:54            16  cnst96     +05:48               5  cnst96     0.999245                 3  cnst96     42             8  cnst96     
1273  J1736-2457    lfl+06     17:36:45.44          8  lfl+06     -24:57:50           22  lfl+06     2.64222343904           14  lfl+06     170            4  lfl+06     
1274  J1736-2819    hfs+04     17:36:24.73          9  hfs+04     -28:19:42           16  hfs+04     1.59241948019           13  hfs+04     261           11  hfs+04     
1275  J1736-2843    hfs+04     17:36:42.59         16  hfs+04     -28:43:51           22  hfs+04     6.4450360861            17  hfs+04     331           10  hfs+04     

1276  J1736-3511    kbm+03     17:36:02.7           3  kbm+03     -35:11:56           11  kbm+03     0.50280278290           13  kbm+03     106            3  kbm+03     
1277  J1737-0811    blr+13     17:37:47.11235      14  blr+13     -08:11:08.887        5  blr+13     0.0041750173128551       8  blr+13     55.311         3  blr+13     
1278  J1737-3102    mhl+02     17:37:33.73          4  mhl+02     -31:02:00.5         41  mhl+02     0.76867227339            5  mhl+02     280            6  mhl+02     
1279  J1737-3137    mhl+02     17:37:04.29          4  mhl+02     -31:37:21            3  mhl+02     0.45043236999            7  mhl+02     488.2         10  mhl+02     
1280  J1737-3320    hfs+04     17:37:10.51          5  hfs+04     -33:20:20            5  hfs+04     0.81627308018            6  hfs+04     804            5  hfs+04     

1281  J1737-3555    jlm+92     17:37:40.039         6  jml+95     -35:55:43.8          4  jml+95     0.397584746441           3  jml+95     89.41          4  jml+95     
1282  J1738+0333    jac05      17:38:53.9658386     3  fwe+12     +03:33:10.86667      3  fwe+12     0.0058500958597756860    11  fwe+12     33.77312       4  fwe+12     
1283  J1738+04      dsm+16     17:38:25           114  dsm+16     +04:20               8  dsm+16     1.39179                  0  dsm+16     23.6           0  dsm+16     
1284  J1738-2330    lfl+06     17:38:08.8           3  lfl+06     -23:30:47          103  lfl+06     1.97884743163            4  lfl+06     99.3          18  lfl+06     
1285  J1738-2647    hfs+04     17:38:05.03          4  hfs+04     -26:47:46           26  hfs+04     0.34959099098            5  hfs+04     182.2         16  hfs+04     

1286  J1738-2736    ncb+15     17:38:14.628         5  ncb+15     -27:36:25.8          9  ncb+15     0.627715518484          19  ncb+15     323.6          7  ncb+15     
1287  J1738-2955    mhl+02     17:38:52.24         10  mhl+02     -29:55:51           10  mhl+02     0.4433980218             4  mhl+02     223.4          6  mhl+02     
1288  J1738-3107    hfs+04     17:38:47.4           3  hfs+04     -31:07:44           14  hfs+04     0.54949769829           13  hfs+04     735           10  hfs+04     
1289  J1738-3211    cjlm87     17:38:54.185         9  hlk+04     -32:11:53.6          6  hlk+04     0.768498945480           3  hlk+04     49.59          4  hlk+04     
1290  J1738-3316    hfs+04     17:38:34.45          6  hfs+04     -33:16:01.6         49  hfs+04     0.73037251102            5  hfs+04     273            4  hfs+04     

1291  J1739+0612    jbo+09     17:39:17.966         4  jbo+09     +06:12:28.4         10  jbo+09     0.234169035616           3  jbo+09     101.5         13  jbo+09     
1292  J1739-1313    ebvb01     17:39:57.821         6  ebvb01     -13:13:18.6          4  ebvb01     1.215697613611           9  ebvb01     58.2           5  ebvb01     
1293  J1739-2903    cl86       17:39:34.278         5  hlk+04     -29:03:03.5          6  hlk+04     0.322882431774           9  hlk+04     138.56         3  hlk+04     
1294  J1739-3023    mhl+02     17:39:39.80          2  mhl+02     -30:23:12            2  mhl+02     0.11436793182            4  mhl+02     170.0          3  mhl+02     
1295  J1739-3049    mhl+02     17:39:23.22          6  mhl+02     -30:49:40            5  mhl+02     0.239317178406          18  mhl+02     573.2         21  mhl+02     

1296  J1739-3131    cl86       17:39:24.304         6  hlk+04     -31:31:15.3          6  hlk+04     0.52944098843           15  hlk+04     600.1         12  hlk+04     
1297  J1739-3159    mhl+02     17:39:48.68          8  mhl+02     -31:59:49            9  mhl+02     0.87756123714           15  mhl+02     337            5  mhl+02     
1298  J1739-3951    lfl+06     17:39:38.25          4  lfl+06     -39:52:00.3          8  lfl+06     0.341772476799          10  lfl+06     24.6           4  lfl+06     
1299  J1740+1000    mca00      17:40:25.950         5  mac+02     +10:00:06.3          2  mac+02     0.154087174313           2  mac+02     23.897        25  bkk+16     
1300  J1740+1311    mlt+78     17:40:07.3455       12  hlk+04     +13:11:56.69         3  hlk+04     0.803050264794           4  hlk+04     48.66823      43  bkk+16     

1301  J1740-2540    hfs+04     17:40:45.32          6  hfs+04     -25:40:19           18  hfs+04     1.69265634040            9  hfs+04     333            5  hfs+04     
1302  J1740-3015    cl86       17:40:33.82          1  fgml97     -30:15:43.5          2  fgml97     0.60688662425            4  ywml10     152.15         2  js06       
1303  J1740-3052    sml+01     17:40:50.001         5  bbn+11     -30:52:04.30        21  bbn+11     0.570313411724           3  msk+12     738.78         8  msk+12     
1304  J1740-3327    hfs+04     17:40:25.72          3  hfs+04     -33:27:53.5         17  hfs+04     0.515000656402          14  hfs+04     274.1         15  hfs+04     
1305  J1740-5340A   dlm+01     17:40:44.589         4  dpm+01     -53:40:40.9          1  dpm+01     0.00365032889720         1  dpm+01     71.8           2  dpm+01     

1306  J1741-0840    mlt+78     17:41:22.555        17  hlk+04     -08:40:31.8         11  hlk+04     2.043082458401           6  hlk+04     74.90          5  hlk+04     
1307  J1741+1351    jbo+07     17:41:31.144770      5  mnf+16     +13:51:44.12241     15  mnf+16     0.003747154499239110    12  abb+15     24.2014        1  egc+13     
1308  J1741-2019    ebvb01     17:41:06.87          3  ebvb01     -20:19:24            5  ebvb01     3.90450636119           13  ebvb01     74.9           4  ebvb01     
1309  J1741-2054    aaa+09c    17:41:57.23          5  rkp+11     -20:53:57           19  rkp+11     0.41370012084           18  rkp+11     4.7            1  crr+09     
1310  J1741-2719    lfl+06     17:41:35.06          4  lfl+06     -27:19:23            7  lfl+06     0.346796929142          19  lfl+06     361.9          4  lfl+06     

1311  J1741-2733    mhl+02     17:41:01.34          4  mhl+02     -27:33:51            7  mhl+02     0.89295866978            6  mhl+02     149.2         17  mhl+02     
1312  J1741+2758    fcwa95     17:41:53.51          2  lwf+04     +27:58:09.0          9  lwf+04     1.3607376877             4  lwf+04     29.14487      11  bkk+16     
1313  J1741-2945    mhl+02     17:41:14.47          4  mhl+02     -29:45:35            5  mhl+02     0.223557828541          15  mhl+02     310.3         12  mhl+02     
1314  J1741-3016    mhl+02     17:41:07.04          6  mhl+02     -30:16:31           10  mhl+02     1.89374869377           18  mhl+02     382            6  mhl+02     
1315  J1741-34      ncb+15     17:41:54            30  ncb+15     -34:19               7  ncb+15     0.875137                 2  ncb+15     241            8  ncb+15     

1316  J1741-3927    mlt+78     17:41:18.081         5  zhw+05     -39:27:38.0          2  zhw+05     0.512211401067           8  wmz+01     158.5          6  nmc81      
1317  J1742-3957    lfl+06     17:42:04.43         19  lfl+06     -39:57:22            9  lfl+06     1.0163491951             4  lfl+06     186            8  lfl+06     
1318  J1742-4616    ebvb01     17:42:26.10          2  ebvb01     -46:16:53.5          4  ebvb01     0.412401047219           7  ebvb01     115.96        14  ebvb01     
1319  J1743-0339    mlt+78     17:43:08.18          3  hlk+04     -03:39:11.5         15  hlk+04     0.44464510677           10  hlk+04     30.26         11  hlk+04     
1320  J1743+05      dsm+16     17:43:16           114  dsm+16     +05:29               8  dsm+16     1.47363                  0  dsm+16     56.1           0  dsm+16     

1321  J1743-1351    stwd85     17:43:37.622         8  hlk+04     -13:51:38.0          7  hlk+04     0.405336948592          10  hlk+04     116.30         3  hlk+04     
1322  J1743-2442    hfs+04     17:43:20.12         10  hfs+04     -24:42:55           41  hfs+04     1.24250830909           11  hfs+04     239            5  hfs+04     
1323  J1743-3150    jlm+92     17:43:36.685        15  hlk+04     -31:50:21.7         15  hlk+04     2.41457551997            6  hlk+04     193.05         7  hlk+04     
1324  J1743-3153    mhl+02     17:43:15.565        13  mhl+02     -31:53:05.3         17  mhl+02     0.193105399932           7  mhl+02     505.7         12  mhl+02     
1325  J1743-35      ncb+15     17:43:06            30  ncb+15     -35:32               7  ncb+15     0.569980                 9  ncb+15     174            5  ncb+15     

1326  J1743-4212    ebvb01     17:43:05.223         5  ebvb01     -42:12:02.4          2  ebvb01     0.3061669878595         16  ebvb01     131.94         5  ebvb01     
1327  J1744-1134    bjb+97     17:44:29.4057891    11  rhc+16     -11:34:54.68126      8  rhc+16     0.004074545941439190     7  rhc+16     3.13695        0  rhc+16     
1328  J1744-1610    ebvb01     17:44:16.534         7  ebvb01     -16:10:35.8          8  ebvb01     1.757205868816          16  ebvb01     66.67         14  ebvb01     
1329  J1744-2335    lml+98     17:44:48.47          5  dsb+98     -23:35:55           26  dsb+98     1.68350668862            2  dsb+98     96.66          2  dsb+98     
1330  J1744-3130    mhl+02     17:44:05.682        14  mhl+02     -31:30:04            3  mhl+02     1.06606087128            4  mhl+02     192.9          7  mhl+02     

1331  J1744-3922    fsk+04     17:44:02.675        10  fsk+04     -39:22:21.1          4  fsk+04     0.172444360995           2  fsk+04     148.1          7  fsk+04     
1332  J1744-5337    bbb+12     17:44:38.92          4  bbb+12     -53:37:51            2  bbb+12     0.3556658488             8  bbb+12     108.85        74  tjb+14     
1333  J1745-0129    ebvb01     17:45:02.06          1  ebvb01     -01:29:18.1          4  ebvb01     1.045406855598          18  ebvb01     90.1          11  ebvb01     
1334  J1745-0952    eb01b      17:45:09.1348        2  jsb+10     -09:52:39.682       15  jsb+10     0.0193763034411294      19  jsb+10     64.474        14  eb01b      
1335  J1745+1017    bgc+13     17:45:33.8371        7  bgc+13     +10:17:52.523        2  bgc+13     0.0026521296710897       4  bgc+13     23.970         2  bgc+13     

1336  J1745-2229    hfs+04     17:45:16.71          7  hfs+04     -22:29:14           25  hfs+04     1.160592538166          19  hfs+04     299            3  hfs+04     
1337  J1745-2900    mgz+13     17:45:40.1662        8  bdd+15     -29:00:29.896       10  bdd+15     3.763733080             17  laks15     1778           3  efk+13     
1338  J1745-2910    dcl09      17:45:16            34  dcl09      -29:10               3  dcl09      0.982                    0  dcl09      1088           0  dcl09      
1339  J1745-2912    jkl+06     17:45:50            10  jkl+06     -29:12               2  jkl+06     0.1873794                2  jkl+06     1130          20  jkl+06     
1340  J1745-3040    kac+73     17:45:56.3127        4  lwy+16     -30:40:23.19         4  lwy+16     0.367432451482          11  lwy+16     88.373         4  hlk+04     

1341  J1745-3812    bbb+12     17:45:15.42          4  bbb+12     -38:12:07.3          9  bbb+12     0.6983528638             2  bbb+12     160.8          4  bbb+12     
1342  J1746+2245    clm+05     17:46:00.84          3  clm+05     +22:45:28.9          8  clm+05     3.46503778264            6  clm+05     49.8543       57  bkk+16     
1343  J1746+2540    fcwa95     17:46:06.87          6  lwf+04     +25:40:37.5          1  lwf+04     1.0581481703             1  lwf+04     51.2044       33  bkk+16     
1344  J1746-27      ncb+15     17:46                5  ncb+15     -27:51               7  ncb+15     0.48752760873            8  ncb+15     422            9  ncb+15     
1345  J1746-2849    dcl09      17:46:03.7           1  dcl09      -28:49:19           21  dcl09      1.478480373              2  dcl09      1456           3  dcl09      

1346  J1746-2850    dcl09      17:46:06.6           2  dcl09      -28:50:42            5  dcl09      1.0771014910             4  dcl09      962.7          7  dcl09      
1347  J1746-2856    jkl+06     17:46:49.5           5  jkl+06     -28:56:31.0          2  jkl+06     0.945224316              3  jkl+06     1168           7  jkl+06     
1348  J1747-1030    bbb+12     17:47:58.31          6  bbb+12     -10:30:05            4  bbb+12     1.5787928888             2  bbb+12     128            7  bbb+12     
1349  J1747-2647    kel+09     17:47:30.894        16  kel+09     -26:47:14            5  kel+09     0.500254454491          16  kel+09     570            9  kel+09     
1350  J1747-2802    mhl+02     17:47:26.55         18  mhl+02     -28:02:37           33  mhl+02     2.7800791979             8  mhl+02     835           14  mhl+02     

1351  J1747-2809    crgl09     17:47:22.80          3  gpg01      -28:09:15.0          5  gpg01      0.052152855              2  crgl09     1133           3  crgl09     
1352  J1747-2958    cmgl02     17:47:15.882         8  gvc+04     -29:58:01.0          7  gvc+04     0.0988139764825         20  gvc+04     101.5         16  cmgl02     
1353  J1747-4036    kcj+12     17:47:48.71665       1  mnf+16     -40:36:54.7795       7  mnf+16     0.00164560961317979      6  ckr+15     152.98         1  ckr+15     
1354  J1748-1300    mlt+78     17:48:17.4077       18  hlk+04     -13:00:52.08        15  hlk+04     0.3941333466126         14  hlk+04     99.364         6  hlk+04     
1355  J1748-2021A   mlj+89b    17:48:52.689         2  frb+08     -20:21:39.7          5  frb+08     0.2886027917197         16  frb+08     219.4          2  frb+08     

1356  J1748-2021B   frb+08     17:48:52.95290       8  frb+08     -20:21:38.86        19  frb+08     0.016760127219257        5  frb+08     220.922       11  frb+08     
1357  J1748-2021C   frb+08     17:48:51.17320      15  frb+08     -20:21:53.81         4  frb+08     0.006226932720487        3  frb+08     226.95         6  frb+08     
1358  J1748-2021D   frb+08     17:48:51.64665       7  frb+08     -20:21:07.414       18  frb+08     0.013495820403909        3  frb+08     224.98         3  frb+08     
1359  J1748-2021E   frb+08     17:48:52.80040      14  frb+08     -20:21:29.38         3  frb+08     0.016264003411125        6  frb+08     224.10         4  frb+08     
1360  J1748-2021F   frb+08     17:48:52.3339        3  frb+08     -20:21:39.33         9  frb+08     0.003793629114948        3  frb+08     220.43         8  frb+08     

1361  J1748-2444    lmd+90     17:48:48.51          3  hlk+04     -24:44:37           11  hlk+04     0.442838499130           6  hlk+04     207.33         9  hlk+04     
1362  J1748-2446A   lmd+90     17:48:02.255         2  lmbm00     -24:46:36.9          6  lmbm00     0.01156314838986         3  lmbm00     242.15         4  hfs+04     
1363  J1748-2446aa  fre08      17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00578804               0  fre08      237.42         0  fre08      
1364  J1748-2446ab  fre08      17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00511971               0  fre08      238.34         0  fre08      
1365  J1748-2446ac  fre08      17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00508691               0  fre08      238.72         0  fre08      

1366  J1748-2446ad  hrs+06     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00139595482            6  hrs+06     235.6          1  hrs+06     
1367  J1748-2446ae  fre08      17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00365859               0  fre08      238.75         0  fre08      
1368  J1748-2446af  fre08      17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00330434               0  fre08      237.34         0  fre08      
1369  J1748-2446ag  fre08      17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00444803               0  fre08      237.75         0  fre08      
1370  J1748-2446ah  fre08      17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00496515               0  fre08      237.75         0  fre08      

1371  J1748-2446ai  fre08      17:48:04.8           0  clge02     -24:46:45            0  clge02     0.02122838               0  fre08      233.9          0  fre08      
1372  J1748-2446C   lmbm00     17:48:04.54          1  lmbm00     -24:46:36            4  lmbm00     0.0084360953044          1  lmbm00     237            1  lmbm00     
1373  J1748-2446D   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00471398               0  rhs+05     243.83         0  rhs+05     
1374  J1748-2446E   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00219780               0  rhs+05     236.84         0  rhs+05     
1375  J1748-2446F   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00554014               0  rhs+05     239.18         0  rhs+05     

1376  J1748-2446G   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.02167187               0  rhs+05     237.57         0  rhs+05     
1377  J1748-2446H   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00492589               0  rhs+05     238.13         0  rhs+05     
1378  J1748-2446I   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00957019               0  rhs+05     238.73         0  rhs+05     
1379  J1748-2446J   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.08033793               0  rhs+05     234.35         0  rhs+05     
1380  J1748-2446K   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00296965               0  rhs+05     234.81         0  rhs+05     

1381  J1748-2446L   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00224470               0  rhs+05     237.74         0  rhs+05     
1382  J1748-2446M   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00356957               0  rhs+05     238.65         0  rhs+05     
1383  J1748-2446N   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00866690               0  rhs+05     238.47         0  rhs+05     
1384  J1748-2446O   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00167663               0  rhs+05     236.38         0  rhs+05     
1385  J1748-2446P   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00172862               0  rhs+05     238.79         0  rhs+05     

1386  J1748-2446Q   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.002812                 0  rhs+05     234.50         0  rhs+05     
1387  J1748-2446R   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00502854               0  rhs+05     237.60         0  rhs+05     
1388  J1748-2446S   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00611664               0  rhs+05     236.26         0  rhs+05     
1389  J1748-2446T   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00708491               0  rhs+05     237.70         0  rhs+05     
1390  J1748-2446U   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00328914               0  fre08      235.50         0  rhs+05     

1391  J1748-2446V   rhs+05     17:48:04.8           0  clge02     -24:46:45            0  clge02     0.00207251               0  rhs+05     239.11         0  rhs+05     
