#----------------------------------------------------------------------------------------------------------------------------------------------------
ID 	    PSRJ       Pref            RAJ           RAf    RAref     DECJ              DECf  DECref      P0                     P0f  P0ref     DM           DMf  DMref
#                               (hms)                              (dms)                              (s)                                    (cm^-3 pc)                   
#------------------------------------------------------------------------------------------------------------------------------------------------------
113   J0343+5312    dth78      03:43:12.90          5  hlk+04     +53:12:53.4          7  hlk+04     1.934478067294          15  hlk+04     67.30          6  hlk+04     
114   J0348+0432    lbr+13     03:48:43.639000      4  afw+13     +04:32:11.4580       2  afw+13     0.0391226569017806       7  afw+13     40.46313      11  afw+13     
115   J0357+5236    dtws85     03:57:44.8153       15  hlk+04     +52:36:57.70         3  hlk+04     0.1970300980314          3  hlk+04     103.706        4  hlk+04     

116   J0358+42      slr+14     03:58                1  slr+14     +42:06               9  slr+14     0.2264777               50  slr+14     46             1  slr+14     
117   J0358+5413    mth72      03:58:53.7238        2  lwy+16     +54:13:13.784        3  lwy+16     0.156384121559           8  lwy+16     57.1420        3  js06       
118   J0358+66      slr+14     03:58                3  slr+14     +66:40              18  slr+14     0.09150682              63  slr+14     62.3           4  slr+14     
119   J0401-7608    mlt+78     04:01:51.68          7  smd93      -76:08:13.8          3  smd93      0.545252742352          16  smd93      21.6           4  dmk+93     
120   J0406+6138    dth78      04:06:30.082         3  ywml10     +61:38:41.04         3  ywml10     0.5945761650437          8  ywml10     65.4053       34  bkk+16     

121   J0407+1607    lxf+05     04:07:54.939         3  lxf+05     +16:07:16.4          2  lxf+05     0.02570173919463         2  lxf+05     35.65          2  lxf+05     
122   J0408+551     hrk+08     04:08                0  hrk+08     +55                  0  hrk+08     1.837                    0  hrk+08     55             0  hrk+08     
123   J0408+552     hrk+08     04:08                0  hrk+08     +55                  0  hrk+08     0.754                    0  hrk+08     64             0  hrk+08     
124   J0410-31      bbj+11     04:10:39            33  bbj+11     -31:07:29          420  bbj+11     1.8785                   2  bbj+11     9.2            3  bbj+11     
125   J0413+58      hrk+08     04:13                0  hrk+08     +58                  0  hrk+08     0.687                    0  hrk+08     57             0  hrk+08     

126   J0415+6954    dtws85     04:15:55.653         4  hlk+04     +69:54:09.89         3  hlk+04     0.3907150899386          3  hlk+04     27.44598      38  bkk+16     
127   J0417+35      cnst96     04:17:43            16  cnst96     +35:45               5  cnst96     0.65440                  3  cnst96     48.5336       12  bkk+16     
128   J0417+61      slr+14     04:17                3  slr+14     +61:08              18  slr+14     0.440283                13  slr+14     71             2  slr+14     
129   J0418-4154    bcm+15     04:18:04.2           2  bcm+15     -41:54:10.8          6  bcm+15     0.75711887132            6  bcm+15     24.54          8  bcm+15     
130   J0419+44      hrk+08     04:19                0  hrk+08     +44                  0  hrk+08     1.241                    0  hrk+08     71             0  hrk+08     

131   J0421-0345    mld+96     04:21:33.556        15  hlk+04     -03:45:06.6          7  hlk+04     2.161308494552          15  hlk+04     44.61          9  hlk+04     
132   J0421+32      ttol16     04:21:30            60  ttol16     +32:40              15  ttol16     0.9005                   0  ttol16     75            15  ttol16     
133   J0426+4933    hrk+08     04:26:06.813         1  bck+13     +49:33:38.46         4  bck+13     0.922474730055           2  bck+13     85             0  hrk+08     
134   J0435+27      rtj+96     04:35:34            20  rtj+96     +27:44               5  rtj+96     0.3262793                9  rtj+96     53.18193      24  bkk+16     
135   J0437-4715    jlh+93     04:37:15.8961737     6  rhc+16     -47:15:09.110714     7  rhc+16     0.005757451936712637    17  rhc+16     2.64476        7  vbv+08     

136   J0447-04      kkl+15     04:47                1  kkl+15     -04:35              18  kkl+15     2.18819                  2  kkl+15     29.83          4  kkl+15     
137   J0448-2749    lml+98     04:48:41.567         6  hlk+04     -27:49:46.74        11  hlk+04     0.4504483308563         17  hlk+04     26.22          4  hlk+04     
138   J0449-7031    mfl+06     04:49:05.67          5  mfl+06     -70:31:31.7          3  mfl+06     0.479163971291          14  mfl+06     65.83          7  mfl+06     
139   J0450-1248    mlt+78     04:50:08.781         3  hlk+04     -12:48:07.10         9  hlk+04     0.4380141493906          8  hlk+04     37.041        10  hlk+04     
140   J0451-67      mfl+06     04:51:50            70  mfl+06     -67:18               7  mfl+06     0.24545429               7  mfl+06     45             1  mfl+06     

141   J0452-1759    vlw69      04:52:34.1057        1  cbv+09     -17:59:23.371        2  cbv+09     0.548939223294           3  hlk+04     39.903         3  hlk+04     
142   J0453+1559    dsm+13     04:53:45.41368       5  msf+15     +15:59:21.3063      59  msf+15     0.0457818168729515      33  msf+15     30.3053        3  msf+15     
143   J0454+5543    dth78      04:54:07.7506        1  cbv+09     +55:43:41.437        2  cbv+09     0.340729436235          10  hlk+04     14.59002      15  bkk+16     
144   J0455-6951    mmh+91     04:55:47.55          8  ckm+01     -69:51:34.3          6  ckm+01     0.320422711526          12  ckm+01     94.89         14  ckm+01     
145   J0456-69      rcl+13     04:56:30             0  rcl+13     -69:10               0  rcl+13     0.117073051             15  rcl+13     103            1  rcl+13     

146   J0456-7031    mfl+06     04:56:02.5           3  mfl+06     -70:31:06.6         12  mfl+06     0.80013207321           10  mfl+06     100.3          3  mfl+06     
147   J0457+23      dsm+13     04:57:06             7  dsm+13     +23:34:00          100  dsm+13     0.5049                   0  dsm+13     59             0  dsm+13     
148   J0457-6337    mfl+06     04:57:07.79          8  mfl+06     -63:37:30.4          9  mfl+06     2.49701169613           19  mfl+06     27.5          10  mfl+06     
149   J0457-69      rcl+13     04:57:02             0  rcl+13     -69:46               0  rcl+13     0.231390388             73  rcl+13     91             1  rcl+13     
150   J0458-0505    lbr+13     04:58:37.121        26  lbr+13     -05:05:05.1         40  lbr+13     1.88347965849           18  lbr+13     47.806        32  lbr+13     

151   J0458-67      rcl+13     04:58:59             0  rcl+13     -67:43               0  rcl+13     1.1339000               18  rcl+13     97             2  rcl+13     
152   J0459-0210    mld+96     04:59:51.941         7  hlk+04     -02:10:06.6          3  hlk+04     1.133076123659           6  hlk+04     21.02          3  hlk+04     
153   J0502+4654    dth78      05:02:04.561         4  hlk+04     +46:54:06.09         9  hlk+04     0.638565481517           3  hlk+04     41.834        20  bkk+16     
154   J0502-6617    mmh+91     05:02:50.53         10  ckm+01     -66:17:58.8          9  ckm+01     0.69125141818            4  ckm+01     68.9           3  ckm+01     
155   J0509+08      dsm+13     05:09:24             7  dsm+13     +08:57:00          100  dsm+13     0.0041                   0  dsm+13     38             0  dsm+13     

156   J0510+38      slr+14     05:09:59            40  slr+14     +38:12               8  slr+14     0.07656440              44  slr+14     69             1  slr+14     
157   J0511-6508    mfl+06     05:11:56.50          2  mfl+06     -65:08:36.5          3  mfl+06     0.322061827468           8  mfl+06     25.66          8  mfl+06     
158   J0514-4002A   fgri04     05:14:06.6927        2  frg07      -40:02:48.897        2  frg07      0.004990575114114        3  frg07      52.1489        6  frg07      
159   J0514-4407    bcm+15     05:14:51.84         10  bcm+15     -44:07:06.5         84  bcm+15     0.3022                   0  bcm+15     15.4           0  bcm+15     
