#,NAME,dm,P0,RAJD,DECJD
,(cm^-3,pc),(s),(deg),(deg),
130,J0358+6627,slr+14,62.33,1,lsk+18,0.09150578075475,17,lsk+18,59.65804,66.46294,
131,J0359+5414,cwp+17,*,0,*,0.0794272322920,13,cwp+17,59.85837,54.24881,
132,B0403-76,mlt+78,21.7,1,pkj+13,0.545252742352,16,smd93,60.46533,-76.13717,
133,B0402+61,dth78,65.4053,34,bkk+16,0.5945761650437,8,ywml10,61.62534,61.64473,
134,J0407+1607,lxf+05,35.65,2,lxf+05,0.02570173919463,2,lxf+05,61.97891,16.12122,
135,J0408+551,hrk+08,55,0,hrk+08,1.837,0,hrk+08,62.00000,55.00000,
136,J0408+552,hrk+08,64,0,hrk+08,0.754,0,hrk+08,62.00000,55.00000,
137,J0410-31,bbj+11,9.2,3,bbj+11,1.8785,2,bbj+11,62.66250,-31.12472,
138,J0413+58,hrk+08,57,0,hrk+08,0.687,0,hrk+08,63.25000,58.00000,
139,B0410+69,dtws85,27.44598,38,bkk+16,0.3907150899386,3,hlk+04,63.98189,69.90275,
140,J0417+35,cnst96,48.5336,12,bkk+16,0.65440,3,cnst96,64.42917,35.75000,
141,J0417+61,slr+14,71,2,slr+14,0.440283,13,slr+14,64.25000,61.13333,
142,J0418-4154,bcm+15,24.54,8,bcm+15,0.75711887132,6,bcm+15,64.51750,-41.90300,
143,J0418+5732,vck+10,*,0,*,9.07838822,5,rip+13,64.64111,57.53970,
144,J0419+44,hrk+08,71,0,hrk+08,1.241,0,hrk+08,64.75000,44.00000,
145,J0420-5022,hmz+04,*,0,*,3.453004027,12,kv11,65.00813,-50.38003,
146,J0421-0345,mld+96,44.61,9,hlk+04,2.161308494552,15,hlk+04,65.38982,-3.75184,
147,J0421+32,ttol16,75,15,ttol16,0.9005,0,ttol16,65.37500,32.66667,
148,J0426+4933,hrk+08,85,0,hrk+08,0.922474730055,2,bck+13,66.52839,49.56068,
149,J0435+2749,rtj+96,53.19,2,bfrs18,0.3262794534509,14,bfrs18,68.96591,27.81714,
150,J0437-4715,jlh+93,2.64476,7,vbv+08,0.005757451936712637,17,rhc+16,69.31623,-47.25253,
151,J0447-04,kkl+15,29.83,4,kkl+15,2.18819,2,kkl+15,71.75000,-4.58333,
152,J0448-2749,lml+98,26.22,4,hlk+04,0.4504483308563,17,hlk+04,72.17320,-27.82965,
153,J0449-7031,mfl+06,65.83,7,mfl+06,0.479163971291,14,mfl+06,72.27362,-70.52547,
154,B0447-12,mlt+78,37.041,10,hlk+04,0.4380141493906,8,hlk+04,72.53659,-12.80197,
