,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_I,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
19,20,677.5112150936283,150.40860489228717,,672,685,146,155,88.0,3.2648905166248845,2.081385555558512,19.152516846510757,0.7704458311543386,-0.09165916346408665,1.3133414615450363,0.0,49.02696744216223,,108.03659106326708,,23.31245713513799,2.3202261439189185,199.7857987675436,-18.85264135229217,94.6413453453562,0.8227524101894709,1.0,0.0029163618622316994,23.31245713513799,6.185015891737318e-05,0.0,0.0,0.0,0.0
20,21,572.5022265614346,166.46695017926123,,564,580,161,173,147.0,3.37485677776551,1.6739346850648709,35.703632807794435,0.8683215520194619,0.04044941806429847,8.98060138078317,0.0,267.9912442727532,,276.9722640814947,,21.46824319942018,1.4,199.79346274006699,-18.85148460912719,71.55931412296972,0.8504639079969085,0.9998969881140339,0.0005702410848989366,21.46824319942018,0.0003163178687336518,0.0,0.0,0.0,0.0
21,22,534.0548424426119,170.0801150870817,,529,540,164,176,112.0,2.6000897826434595,2.230145442664102,-32.974023223773244,0.514119396749513,-0.18871718810292748,3.8908521231991386,0.0,138.90343503963481,,158.98896089706275,,22.18176224763169,1.5990261986580214,199.79626982362385,-18.85121769473057,64.18129201044582,0.6552226252261518,0.9999993220006098,0.0010968743644416963,22.18176224763169,0.00016444676846049568,0.0,0.0,0.0,0.0
22,23,251.65614576968397,173.4254804683373,,245,258,167,180,150.0,1.514510662240093,1.44163805959054,18.661137283234986,0.3064593985120659,-0.08190217383005916,116.7733808952433,0.0,1107.5634675871572,,1077.9197504566066,,19.927623156410647,1.4,199.81689889266343,-18.85085942433579,54.15434352820034,0.38165668688450344,0.6860837790907572,0.00012568622934871156,19.927623156410647,0.0014351408708359512,0.0,0.0,0.0,0.0
23,24,178.54931252119349,177.77996182307544,,168,185,170,183,149.0,2.8667567073670175,1.8114441321335037,34.61004428283753,0.7750668291422097,-0.0865814080443954,28.90054223069714,0.0,383.8928558678615,,380.08527108290264,,21.07801963698042,1.4,199.82223761205393,-18.85052512743102,64.46460485748815,0.7224226902564884,0.9941769426652061,0.00039386244108376953,21.07801963698042,0.00045797066646736446,0.0,0.0,0.0,0.0
24,25,139.28642365284037,174.9783537154705,,135,143,171,179,71.0,1.7567456809666824,1.7071507035436755,-87.06451780939712,0.2359350156058322,-0.12608312003226274,4.787281020567633,0.0,76.82516242831676,,93.1711802693602,,22.824785994381955,1.8477794394743428,199.82510730710655,-18.850700904246196,72.13805888629388,0.44269991160360395,0.9999999999999803,0.0019296602162398387,22.824785994381955,9.347627272488565e-05,0.0,0.0,0.0,0.0
25,26,498.4322118467945,182.82821823776823,,494,503,177,189,105.0,2.5130376996504076,1.9124723535032062,-87.62564214371633,0.6487282291754285,-0.00592965752515795,5.293448216846798,0.0,137.19684723699777,,147.56415291780246,,22.195184383575207,1.6384442499201746,199.79886622437292,-18.850320441929473,56.060165083406545,0.6332855003119027,0.9999827888790721,0.0011101480962197698,22.195184383575207,0.0001624805242235795,0.0,0.0,0.0,0.0
26,27,474.4317787196258,187.37905305162917,,470,480,183,192,79.0,1.8359406331660357,1.5717864801429535,38.51669566190507,0.516776186281944,-0.06956898183686633,7.769992952876123,0.0,124.27310918946445,,130.28883513551006,,22.3026018020143,1.4480993723534994,199.800617419601,-18.849995084891397,51.68078686172658,0.462657039557841,0.9999649933078656,0.0012218833764981163,22.3026018020143,0.000147622472086128,0.0,0.0,0.0,0.0
27,28,233.944756543117,194.19459954551678,,230,238,188,199,74.0,2.515827927083502,1.3570723511840188,69.00741993931886,0.8420408133842632,-0.07551941332563672,4.149845914457799,0.0,78.85416574669635,,95.47471370148699,,22.796483108749058,2.1548329080413726,199.81818283007917,-18.849415480241507,52.30152302634665,0.6339886376250424,0.9999999077899226,0.001883192402581824,22.796483108749058,9.5782801795665e-05,0.0,0.0,0.0,0.0
28,29,651.1527218734348,200.71120754770715,,647,656,196,205,75.0,1.7364462891741885,1.3936899129157898,-51.4293712545828,0.5965035526532286,-0.11658616522886689,11.16000095008134,0.0,147.59321897977253,,149.9981410162589,,22.115878700414772,1.4690360193209473,199.78770089849428,-18.8491519538744,82.51434209046596,0.4375844648718955,0.9999999997524585,0.0010338325930996208,22.115878700414772,0.00017447451922442505,0.0,0.0,0.0,0.0
29,30,495.78900744304974,216.53019756394622,,480,518,199,239,1052.0,8.010125189706724,6.15683719447392,-67.71772946957071,0.6396914160177182,-0.07361969680538039,18.164773574327327,0.0,2239.2165540557007,,2336.5236078501603,,19.16330447193963,1.454267765633882,199.79904341441343,-18.8479892225475,49.22248993896328,2.0185515478060942,0.3509009320529468,5.6374233512726875e-05,19.16330447193963,0.0031996434079919777,0.0,0.0,0.0,0.0
30,31,525.6650210470648,208.85654289137344,,517,533,202,216,186.0,1.6225060033625878,1.552391484013958,14.735828997730412,0.29079204508551115,-0.0852871862407909,160.56308566576712,0.0,1349.6597424187728,,1308.3652787768956,,19.71298397732082,1.4,199.79686447418504,-18.848533086148166,55.83712560387385,0.4088715128473721,0.6272502190067729,0.00010069693261260779,19.71298397732082,0.0017912903596927715,0.0,0.0,0.0,0.0
31,32,66.2001863402484,233.09296992773082,,62,71,229,237,75.0,1.8552129748288233,1.536474477769467,-13.522966755509852,0.56044293612972,-0.13523859356030243,7.329745683933751,0.0,139.83090176037106,,140.62076108529794,,22.174536816238117,1.4,199.83041842874235,-18.846649596970458,80.06868147717307,0.4675136696568635,0.9999999997084249,0.0010897900662449108,22.174536816238117,0.00016551577246535517,0.0,0.0,0.0,0.0
32,33,364.26097766435055,243.2455069059609,,354,374,232,254,343.0,1.859874318903808,1.7511560370410297,61.4714782479319,0.3368862317531533,-0.082089429098815,608.9955015956497,0.0,6655.001268337383,,6430.650604001054,,17.980674355782526,1.4,199.80863931351544,-18.846083216116824,29.423368419098065,0.4686883283637596,0.04064354026112593,1.5222083036752122e-05,17.980674355782526,0.011849721500276578,0.0,0.0,0.0,0.0
33,34,327.0310531497503,239.4023010199492,,319,333,234,245,118.0,3.108937479488786,2.5330805181494984,15.37573666836645,0.5797790999403918,0.057892455850648616,2.323511589901301,0.0,96.77935688233333,,152.62516549855326,,22.574087882706287,2.295358291983369,199.81136090140888,-18.846332131636196,31.53765267815808,0.7834522448311741,0.9923126850166011,0.0015525110812437302,22.574087882706287,0.00011618432024014608,0.0,0.0,0.0,0.0
